km;g cm-3;g cm-3;MPa;MPa;Mpa
depth;density;average_ro;Goetze_strike;Goetze_thrust;Goetze_normal
0;1.02;1.02;0;0;0
1;1.02;1.02;6.7;10;6.7
2;1.02;1.02;13.3;20;13.3
3;1.02;1.02;20;30;20
4;2.6;1.42;37;55.7;37
5;2.6;1.65;54;80.9;54
6;2.6;1.81;71;106.5;71
7;2.6;1.92;88;131.8;88
8;2.6;2.01;105;157.7;105
9;2.6;2.07;122;182.7;122
10;2.6;2.13;139;208.9;139
11;2.6;2.17;156;234.1;156
12;2.6;2.21;173;260.1;173
13;2.6;2.24;190;285.6;190
14;2.6;2.26;207;310.3;207
15;2.6;2.28;224;335.4;224
16;2.9;2.32;242.9;364;242.9
17;2.9;2.36;261.9;393.4;261.9
18;2.9;2.39;280.9;421.9;280.9
19;2.9;2.41;299.8;449;299.8
20;2.9;2.44;318.8;478.6;318.8
21;2.9;2.46;337.7;506.6;337.7
22;2.9;2.48;356.7;535.1;356.7
23;2.9;2.5;375.7;563.9;375.7
24.4;2.9;2.52;402.2;603;402.2
25;3.38068;2.54;415.5;622.7;415.5
26;3.38057;2.57;437.6;655.3;437.6
27;3.38047;2.6;459.7;688.4;459.7
28;3.38036;2.63;481.8;722.2;481.8
29;3.38025;2.66;503.9;756.5;503.9
30;3.38014;2.68;526;788.5;526
31;3.38003;2.7;548.1;820.8;548.1
32;3.37992;2.73;570.2;856.7;570.2
33;3.37981;2.75;592.3;890;592.3
34;3.3797;2.76;614.4;920.3;614.4
35;3.3796;2.78;636.4;954.2;636.4
40;3.37905;2.86;746.9;1121.9;746.9
45;3.37851;2.91;857.3;1284.2;857.3
50;3.37797;2.96;967.8;1451.4;967.8
60;3.37688;3.03;1188.5;1782.8;1188.5
70;3.37579;3.08;1409.2;2114.3;1409.2
80;3.37471;3.12;1629.9;2447.7;1629.9
90;3.37362;3.14;1850.4;2771.4;1850.4
100;3.37253;3.17;2070.9;3108.7;2070.9
110;3.37145;3.19;2291.3;3441.2;2291.3
120;3.37036;3.2;2511.7;3765.8;2511.7
130;3.36927;3.21;2732;4092.3;2732
140;3.36818;3.23;2952.2;4434.6;2952.2
150;3.3671;3.23;3172.3;4751.3;3172.3
160;3.36601;3.24;3392.4;5083.8;3392.4
170;3.36492;3.25;3612.3;5418.2;3612.3
180;3.36384;3.26;3832.3;5754.5;3832.3
190;3.36275;3.26;4052.1;6074.2;4052.1
200;3.36166;3.27;4271.9;6413.5;4271.9
210;3.36058;3.27;4491.6;6734.2;4491.6
220;3.35949;3.28;4711.2;7076.5;4711.2
220;3.43577;3.28;4711.2;7076.5;4711.2
230;3.44175;3.28;4936.2;7398.1;4936.2
240;3.44772;3.29;5161.7;7743.3;5161.7
250;3.45369;3.3;5387.4;8090.5;5387.4
260;3.45966;3.3;5613.6;8414.1;5613.6
270;3.46563;3.31;5840.2;8764.2;5840.2
280;3.4716;3.31;6067.2;9088.8;6067.2
290;3.47758;3.32;6294.5;9441.8;6294.5
300;3.48355;3.33;6522.3;9796.8;6522.3
310;3.48952;3.33;6750.4;10123.4;6750.4
320;3.49549;3.34;6978.9;10481.3;6978.9
330;3.50146;3.34;7207.9;10808.9;7207.9
340;3.50743;3.35;7437.2;11169.8;7437.2
350;3.51341;3.35;7666.9;11498.3;7666.9
360;3.51938;3.36;7896.9;11862.1;7896.9
370;3.52535;3.36;8127.4;12191.6;8127.4
380;3.53132;3.36;8358.3;12521.1;8358.3
390;3.53729;3.37;8589.6;12888.9;8589.6
400;3.54326;3.37;8821.2;13219.4;8821.2
400;3.72375;3.37;8821.2;13219.4;8821.2
410;3.73635;3.38;9065.5;13590.1;9065.5
420;3.74895;3.39;9310.6;13962.7;9310.6
430;3.76156;3.4;9556.5;14337.3;9556.5
440;3.77416;3.41;9803.2;14713.9;9803.2
450;3.78677;3.42;10050.8;15092.4;10050.8
460;3.79937;3.42;10299.2;15427.8;10299.2
470;3.81197;3.43;10548.4;15809.3;10548.4
480;3.82458;3.44;10798.5;16192.7;10798.5
490;3.83718;3.45;11049.3;16578.1;11049.3
500;3.84978;3.46;11301;16965.5;11301
510;3.86239;3.47;11553.5;17354.8;11553.5
520;3.87499;3.47;11806.9;17695.1;11806.9
530;3.88759;3.48;12061;18087.4;12061
540;3.9002;3.49;12316;18481.6;12316
550;3.9128;3.5;12571.8;18877.8;12571.8
560;3.92541;3.5;12828.5;19221;12828.5
570;3.93801;3.51;13085.9;19620.2;13085.9
580;3.95061;3.52;13344.2;20021.3;13344.2
590;3.96322;3.53;13603.3;20424.3;13603.3
600;3.97582;3.53;13863.2;20770.5;13863.2
600;3.97582;3.53;13863.2;20770.5;13863.2
610;3.97815;3.54;14123.3;21176.5;14123.3
620;3.98048;3.55;14383.6;21584.4;14383.6
630;3.98281;3.56;14643.9;21994.4;14643.9
640;3.98514;3.56;14904.5;22343.5;14904.5
650;3.98746;3.57;15165.2;22756.3;15165.2
660;3.98979;3.58;15426;23171.2;15426
670;3.99212;3.58;15687;23522.2;15687
670;4.38074;3.58;15687;23522.2;15687
685.3;4.39029;3.6;16126.2;24193.8;16126.2
735.3;4.42128;3.66;17571.4;26391.6;17571.4
771;4.4432;3.69;18608.5;27899.8;18608.5
771;4.4432;3.69;18608.5;27899.8;18608.5
785.3;4.45194;3.71;19024.7;28571.3;19024.7
835.3;4.48228;3.75;20489.9;30718.1;20489.9
885.3;4.51232;3.79;21964.9;32904.1;21964.9
935.3;4.54206;3.83;23449.7;35129.4;23449.7
985.3;4.5715;3.87;24944;37393.8;24944
1035.3;4.60067;3.91;26447.9;39697.5;26447.9
1085.3;4.62956;3.94;27961.3;41934;27961.3
1135.3;4.65819;3.97;29484;44200;29484
1185.3;4.68656;4;31016;46495.3;31016
1235.3;4.71469;4.03;32557.1;48820;32557.1
1285.3;4.74259;4.06;34107.4;51174.2;34107.4
1335.3;4.77025;4.09;35666.8;53557.8;35666.8
1385.3;4.7977;4.11;37235.1;55835;37235.1
1435.3;4.82493;4.14;38812.3;58272.5;38812.3
1485.3;4.85196;4.16;40398.4;60593.8;40398.4
1535.3;4.87881;4.18;41993.2;62934.7;41993.2
1585.3;4.90547;4.21;43596.7;65450.7;43596.7
1635.3;4.93195;4.23;45208.9;67835.7;45208.9
1685.3;4.95827;4.25;46829.7;70240.4;46829.7
1735.3;4.98443;4.27;48459.1;72664.6;48459.1
1785.3;5.01045;4.29;50096.9;75108.5;50096.9
1835.3;5.03633;4.31;51743.3;77572;51743.3
1885.3;5.06208;4.33;53398;80055.1;53398
1935.3;5.0877;4.35;55061.1;82557.8;55061.1
1985.3;5.11322;4.37;56732.5;85080.2;56732.5
2035.3;5.13863;4.39;58412.3;87622.1;58412.3
2085.3;5.16395;4.41;60100.3;90183.6;60100.3
2135.3;5.18919;4.43;61796.6;92764.8;61796.6
2185.3;5.21434;4.44;63501.1;95151.3;63501.1
2235.3;5.23944;4.46;65213.8;97766.8;65213.8
2285.3;5.26447;4.48;66934.7;100401.9;66934.7
2335.3;5.28945;4.5;68663.8;103056.6;68663.8
2385.3;5.3144;4.51;70401;105497;70401
2435.3;5.33931;4.53;72146.4;108186.1;72146.4
2485.3;5.3642;4.55;73899.9;110894.7;73899.9
2535.3;5.38908;4.56;75661.5;113374.4;75661.5
2585.3;5.41395;4.58;77431.3;116117.3;77431.3
2635.3;5.43883;4.6;79209.1;118879.9;79209.1
2685.3;5.46372;4.61;80995.2;121398.8;80995.2
2735.3;5.48863;4.63;82789.3;124195.7;82789.3
2741;5.49148;4.63;82994;124454.5;82994
2741;5.49148;4.63;82994;124454.5;82994
2785.3;5.51358;4.65;84590.8;127012.2;84590.8
2835.3;5.53856;4.66;86401.3;129570.3;86401.3
2885.3;5.5636;4.68;88220;132421.2;88220
2891;5.56646;4.68;88427.4;132682.8;88427.4
2891;9.90344;4.68;88427.4;132682.8;88427.4
2971;10.02942;4.82;93673;140433.4;93673
3071;10.18136;5;100329.4;150581.1;100329.4
3171;10.32727;5.17;107081.1;160770.9;107081.1
3271;10.46729;5.33;113924.4;170973.4;113924.4
3371;10.60153;5.48;120855.4;181159;120855.4
3471;10.73013;5.63;127870.5;191638.9;127870.5
3571;10.85322;5.78;134966.1;202413;134966.1
3671;10.97092;5.92;142138.6;213121.3;142138.6
3771;11.08336;6.06;149384.7;224104.1;149384.7
3871;11.19067;6.19;156700.9;234981.9;156700.9
3971;11.29298;6.32;164084;246114.7;164084
4071;11.39042;6.44;171530.7;257103.3;171530.7
4149.5;11.46358;6.54;177414;266130.2;177414
4171;11.48311;6.57;179028.1;268736.2;179028.1
4271;11.57119;6.68;186593.1;279786.5;186593.1
4371;11.65478;6.8;194212.7;291481.1;194212.7
4471;11.73401;6.91;201884.1;302972.6;201884.1
4571;11.809;7.01;209604.6;314231.6;209604.6
4671;11.87989;7.12;217371.4;326144.9;217371.4
4771;11.94681;7.22;225181.9;337805.9;225181.9
4871;12.00988;7.32;233033.7;349663.2;233033.7
4971;12.06923;7.41;240924.3;361229;240924.3
5071;12.12499;7.51;248851.3;373468.7;248851.3
5149.5;12.16633;7.58;255095.3;382785;255095.3
5149.5;12.76361;7.58;255095.3;382785;255095.3
5153.9;12.76595;7.58;255462.5;383112.1;255462.5
5171;12.77495;7.6;256890.7;385397.4;256890.7
5271;12.82503;7.7;265275.4;398019.6;265275.4
5371;12.87076;7.79;273690;410311.1;273690
5471;12.91213;7.89;282131.6;423315.7;282131.6
5571;12.94914;7.98;290597.5;435970.1;290597.5
5671;12.98181;8.07;299084.7;448801;299084.7
5771;13.01011;8.15;307590.4;461242.5;307590.4
5871;13.03406;8.24;316111.7;474416.7;316111.7
5971;13.05366;8.32;324645.9;487181.8;324645.9
6071;13.0689;8.39;333190.1;499508.5;333190.1
6171;13.07979;8.47;341741.3;512577.6;341741.3
6271;13.08632;8.54;350296.9;525188.7;350296.9
6371;13.0885;8.62;358853.8;538561.8;358853.8
